PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;DIA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24
1;59;8;30;01059008_30_59;2019;1;1;3.0;3.89;2.32;2.08;2.08;1.46;1.55;1.57;1.64;1.48;1.26;1.18;0.69;0.56;0.39;0.39;0.43;0.48;0.85;0.52;0.51;0.48;0.42;0.39
1;59;8;30;01059008_30_59;2019;1;2;0.39;0.36;0.31;0.38;0.31;0.3;0.34;0.34;0.37;0.39;0.37;0.41;0.43;0.35;0.42;0.52;0.31;0.37;0.42;0.37;0.34;0.37;0.35;0.34
1;59;8;30;01059008_30_59;2019;1;3;0.32;0.34;0.33;0.34;0.43;0.49;0.48;0.63;1.7;2.26;2.1;2.23;1.09;0.9;0.81;0.76;0.8;0.9;1.13;1.5;1.79;1.95;2.21;2.84
1;59;8;30;01059008_30_59;2019;1;4;2.75;1.48;1.64;1.48;1.73;1.57;1.57;2.03;2.21;2.5;3.39;3.64;1.12;1.44;1.04;0.6;0.45;0.51;0.71;1.26;1.69;2.06;2.66;2.8
1;59;8;30;01059008_30_59;2019;1;6;2.43;1.8;2.44;1.94;1.6;1.22;0.93;0.95;1.08;0.94;0.85;0.63;0.45;0.47;0.42;0.43;0.56;0.54;0.56;0.56;0.53;0.51;1.11;0.41
1;59;8;30;01059008_30_59;2019;1;8;0.33;0.36;0.32;0.36;0.34;0.41;0.42;0.6;0.45;0.45;0.45;0.52;0.55;2.15;0.38;0.36;0.48;0.51;0.46;0.46;0.42;0.44;0.41;0.35
1;59;8;30;01059008_30_59;2019;1;10;0.3;0.31;0.31;0.3;0.29;0.35;0.46;0.62;0.46;0.55;;;0.58;0.65;0.89;0.68;0.54;0.77;0.45;0.44;0.43;0.5;0.44;0.37
1;59;8;30;01059008_30_59;2019;1;12;0.56;0.49;0.42;0.38;0.39;0.41;0.53;0.64;0.66;0.72;0.57;0.51;0.33;0.33;0.31;0.28;0.28;0.29;0.24;0.27;0.36;0.41;0.31;0.31
1;59;8;30;01059008_30_59;2019;1;13;0.29;0.21;0.24;0.19;0.2;0.22;0.34;0.29;0.26;0.28;0.21;0.19;0.16;0.16;0.24;0.21;0.2;0.26;0.29;0.33;0.52;0.63;0.53;0.29
1;59;8;30;01059008_30_59;2019;1;16;1.93;1.66;1.22;1.12;1.47;1.57;1.83;2.57;6.44;4.36;2.63;5.93;4.62;1.25;0.56;0.55;0.56;0.53;0.49;0.66;0.74;1.0;0.65;1.31
1;59;8;30;01059008_30_59;2019;1;23;0.35;0.25;0.26;0.21;0.18;0.25;0.61;0.6;0.18;0.17;0.22;0.25;0.21;0.29;0.24;0.27;0.24;0.27;0.27;0.27;0.26;0.21;0.22;0.24
1;59;8;30;01059008_30_59;2019;1;26;0.18;0.16;0.15;0.13;0.14;0.2;0.25;0.24;0.54;0.27;0.2;0.22;0.14;0.15;0.15;0.16;0.16;0.31;0.4;0.52;0.61;1.46;1.72;2.08
