PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;DIA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24
1;59;8;30;01059008_30_59;2020;1;1;0.79;0.78;0.88;0.78;0.63;0.6;0.63;0.76;0.8;0.79;0.83;0.86;0.87;0.78;0.85;0.91;1.05;1.0;1.17;1.11;0.99;1.05;0.75;0.59
1;59;8;30;01059008_30_59;2020;1;2;0.56;0.51;0.53;0.54;0.54;0.58;0.62;0.69;0.79;0.9;0.59;0.65;0.51;0.46;0.44;0.41;0.5;0.55;0.42;0.54;0.63;0.41;0.41;0.4
1;59;8;30;01059008_30_59;2020;1;3;0.41;0.39;0.42;0.4;0.41;0.43;0.45;0.8;1.28;1.26;0.96;0.96;0.86;1.05;1.77;1.17;0.89;1.04;1.38;1.45;1.61;1.78;2.04;2.26
1;59;8;30;01059008_30_59;2020;1;6;1.22;0.95;0.79;0.7;0.67;0.73;0.72;0.67;0.67;0.93;0.87;0.97;0.87;0.75;0.61;0.55;0.37;1.54;1.22;1.18;0.82;1.25;1.01;1.25
1;59;8;30;01059008_30_59;2020;1;10;0.25;0.25;0.23;0.25;0.27;0.24;0.22;0.31;0.28;;;0.39;0.31;0.28;0.32;0.28;0.3;0.36;0.48;0.43;0.46;0.64;0.54;0.49
1;59;8;30;01059008_30_59;2020;1;11;0.51;0.62;0.47;0.81;0.56;0.95;0.67;0.44;0.44;0.58;0.64;0.72;0.45;0.27;0.25;0.23;0.29;0.48;0.61;1.01;1.52;1.48;1.96;1.7
1;59;8;30;01059008_30_59;2020;1;13;1.6;1.11;1.09;1.42;1.6;1.47;1.43;1.32;1.23;1.59;1.64;1.44;1.35;0.84;0.31;0.3;0.31;0.38;0.34;0.38;0.36;0.36;0.36;0.34
1;59;8;30;01059008_30_59;2020;1;16;1.33;1.9;1.52;0.91;0.54;0.68;0.49;0.41;0.82;0.72;0.59;0.44;;0.36;0.37;0.25;0.35;0.37;0.44;0.71;0.41;0.62;0.47;0.2
1;59;8;30;01059008_30_59;2020;1;17;0.17;0.17;0.18;0.17;0.18;0.18;0.19;0.24;0.29;0.34;0.25;0.25;0.27;0.33;0.32;0.26;0.33;0.64;0.76;0.49;0.69;0.57;0.65;0.83
1;59;8;30;01059008_30_59;2020;1;20;0.33;0.32;0.33;0.32;0.37;0.4;0.31;0.41;0.46;0.41;0.41;0.5;0.41;0.41;0.4;0.42;0.42;0.4;0.48;0.51;0.51;0.4;0.41;0.4
1;59;8;30;01059008_30_59;2020;1;21;0.39;0.44;0.45;0.45;0.41;0.43;0.43;0.45;0.51;0.54;0.49;;0.61;0.55;0.52;0.54;0.56;0.56;0.75;0.58;0.59;0.55;0.52;0.46
1;59;8;30;01059008_30_59;2020;1;25;0.96;1.28;1.65;1.1;0.93;1.06;1.31;0.96;0.45;0.44;0.59;0.55;0.84;0.47;0.28;0.26;0.26;0.34;0.47;0.46;0.55;0.5;0.52;0.49
1;59;8;30;01059008_30_59;2020;1;26;0.6;0.47;0.28;0.28;0.3;0.31;0.29;0.38;0.39;0.28;0.37;0.9;0.34;0.26;0.26;0.29;0.29;0.28;0.33;0.34;0.34;0.38;0.3;0.27
1;59;8;30;01059008_30_59;2020;2;1;0.14;0.13;0.14;0.15;0.16;0.16;0.23;0.2;1.04;1.26;0.22;0.17;0.14;0.14;0.18;0.14;0.13;0.13;0.13;0.13;0.14;0.15;0.14;0.14
1;59;8;30;01059008_30_59;2020;2;3;0.54;0.47;0.56;0.41;0.64;1.55;1.29;2.14;2.08;1.23;;1.87;1.52;0.45;0.22;0.16;0.17;0.15;0.18;0.16;0.44;0.32;0.16;0.24
1;59;8;30;01059008_30_59;2020;2;4;0.29;0.36;0.39;0.33;0.88;0.6;0.87;1.1;0.4;0.38;0.22;0.32;0.29;0.37;0.28;0.25;0.45;0.53;0.45;0.39;0.34;0.36;0.27;0.21
1;59;8;30;01059008_30_59;2020;2;13;1.37;1.04;0.87;1.04;1.7;1.32;1.22;0.47;0.53;0.37;0.37;0.36;0.38;0.33;0.25;0.24;0.22;0.3;0.33;0.34;0.28;0.24;0.37;0.53
1;59;8;30;01059008_30_59;2020;2;19;0.38;0.37;0.56;1.56;0.86;1.31;1.94;1.5;1.26;0.96;1.52;0.98;0.3;0.43;0.43;0.37;0.33;1.38;0.67;0.79;0.85;1.14;1.85;1.56
1;59;8;30;01059008_30_59;2020;2;20;2.24;3.61;2.84;2.7;2.53;1.47;1.17;1.64;3.44;3.24;2.32;1.3;0.39;0.26;0.24;0.3;0.53;0.39;0.41;0.34;0.34;0.33;0.35;0.4
1;59;8;30;01059008_30_59;2020;2;21;0.34;0.38;0.38;0.37;0.63;1.17;1.51;1.46;1.4;1.51;1.74;0.63;0.36;0.43;0.56;0.42;0.34;0.64;0.71;0.91;0.94;1.06;1.85;2.17
1;59;8;30;01059008_30_59;2020;2;22;1.96;1.37;1.56;1.53;1.13;0.66;0.58;0.84;1.41;1.69;1.81;1.4;1.02;0.63;0.46;0.24;0.33;0.6;0.5;0.61;0.92;1.0;1.57;1.64
1;59;8;30;01059008_30_59;2020;2;25;0.88;0.83;0.72;0.54;0.46;0.53;0.51;1.02;1.78;1.53;2.06;2.79;0.66;0.45;0.3;0.26;0.22;0.25;0.32;0.25;0.23;0.25;0.22;0.23
1;59;8;30;01059008_30_59;2020;2;28;0.2;0.2;0.16;0.16;0.18;0.41;0.67;1.92;1.76;2.01;0.97;0.37;0.17;0.16;0.19;0.14;0.22;0.6;0.2;0.25;0.24;0.59;1.03;0.35
1;59;8;30;01059008_30_59;2020;2;29;0.24;0.19;0.12;0.13;0.13;0.12;0.09;0.11;0.12;0.13;0.13;0.12;0.15;0.12;0.14;0.21;0.24;0.28;0.34;0.35;0.29;0.32;0.28;0.32
1;59;8;30;01059008_30_59;2020;3;1;0.24;0.2;0.21;0.19;0.2;0.19;0.18;0.16;0.17;0.18;0.16;0.16;0.13;0.14;0.14;0.11;0.13;0.09;0.15;0.14;0.15;0.12;0.1;0.1
1;59;8;30;01059008_30_59;2020;3;3;0.23;0.24;0.23;0.23;0.21;0.25;0.24;0.31;0.25;0.67;0.25;0.23;0.24;0.16;0.13;0.12;0.15;0.18;0.21;0.22;0.19;0.45;0.33;0.34
1;59;8;30;01059008_30_59;2020;3;6;0.28;0.19;0.18;0.18;0.17;0.18;0.23;0.26;0.27;0.25;0.25;0.23;0.26;0.27;0.42;0.26;0.27;0.25;0.25;0.25;0.25;0.28;0.25;0.28
1;59;8;30;01059008_30_59;2020;3;7;0.24;0.25;0.24;0.22;0.23;0.25;0.23;0.23;0.25;0.26;0.3;0.28;0.23;0.2;0.18;0.31;0.19;0.26;0.32;0.39;0.48;0.59;0.59;1.12
1;59;8;30;01059008_30_59;2020;3;8;1.05;1.05;1.28;0.74;0.63;0.57;0.8;1.35;1.31;1.26;1.38;1.02;0.41;0.29;0.26;0.2;0.22;0.25;0.24;0.29;0.26;0.23;0.19;0.2
1;59;8;30;01059008_30_59;2020;3;12;0.78;0.72;0.53;0.57;0.45;0.43;0.32;0.49;0.35;0.59;0.41;0.37;0.27;0.24;0.28;0.22;0.33;0.25;0.28;0.24;0.22;0.21;0.18;0.17
1;59;8;30;01059008_30_59;2020;3;17;0.19;0.25;0.19;0.2;0.21;0.25;0.3;0.31;0.33;0.31;0.34;0.31;0.33;0.36;0.4;0.38;0.31;0.38;0.58;0.56;0.71;0.64;0.8;1.05
1;59;8;30;01059008_30_59;2020;3;21;0.19;0.21;0.28;0.23;0.22;0.2;0.17;0.19;0.23;0.23;0.23;0.2;0.19;0.2;0.16;0.16;0.17;0.18;0.16;0.2;0.22;0.28;0.24;0.29
