PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;DIA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24
1;59;8;30;01059008_30_59;2018;1;1;0.56;0.47;0.28;0.25;0.3;0.19;0.18;0.18;0.19;0.2;0.19;0.18;0.19;0.17;0.19;0.2;0.19;0.18;0.22;0.21;0.24;0.24;0.25;0.22
1;59;8;30;01059008_30_59;2018;1;2;0.2;0.19;0.15;0.15;0.15;0.15;0.15;0.18;0.2;0.18;;;0.19;0.16;0.19;0.16;0.18;0.18;0.2;0.21;0.23;0.21;0.18;0.19
1;59;8;30;01059008_30_59;2018;1;3;0.18;0.16;0.19;0.15;0.16;0.15;0.15;0.15;0.15;0.18;0.16;0.15;0.15;0.13;0.15;0.15;0.13;0.16;0.19;0.25;0.34;0.48;0.28;0.14
1;59;8;30;01059008_30_59;2018;1;4;0.11;0.1;0.1;0.14;0.09;0.08;0.14;0.16;0.12;0.1;0.11;0.12;0.1;0.1;0.07;0.1;0.1;0.08;0.08;0.13;0.13;0.14;0.13;0.1
1;59;8;30;01059008_30_59;2018;1;5;0.09;0.08;0.08;0.06;0.1;0.1;0.1;0.12;0.14;0.16;0.15;0.17;0.28;0.31;0.31;0.21;0.25;0.33;0.29;0.31;0.27;0.22;0.24;0.21
1;59;8;30;01059008_30_59;2018;1;6;0.23;0.22;0.18;0.15;0.17;0.16;0.13;0.18;0.16;0.17;0.17;0.19;0.29;0.32;0.25;0.24;0.2;0.21;0.28;0.27;0.28;0.25;0.24;0.26
1;59;8;30;01059008_30_59;2018;1;9;0.92;0.88;0.84;0.67;0.5;0.48;0.63;0.44;0.28;0.21;0.24;0.22;0.22;0.28;0.23;0.22;0.26;0.3;0.28;0.34;0.37;0.39;0.28;0.93
1;59;8;30;01059008_30_59;2018;1;10;0.41;0.32;0.31;0.28;0.25;0.52;0.57;0.42;0.52;0.4;0.33;0.29;0.28;0.21;0.21;0.19;0.21;0.19;0.2;0.23;0.26;0.22;0.19;0.23
1;59;8;30;01059008_30_59;2018;1;11;0.19;0.18;0.23;0.2;0.19;0.2;0.2;0.28;0.31;0.28;0.29;0.48;0.45;0.4;0.31;0.3;0.46;0.5;0.63;0.37;0.39;0.39;0.75;1.03
1;59;8;30;01059008_30_59;2018;2;12;;;;;;;;;;;;;;;0.96;0.55;0.59;0.51;0.72;0.74;0.74;0.8;1.42;0.66
1;59;8;30;01059008_30_59;2018;2;13;0.67;0.74;0.75;0.8;0.95;0.6;1.61;0.55;0.62;0.57;0.54;0.58;0.55;0.63;0.57;0.6;0.55;0.58;0.58;0.63;0.79;0.87;0.95;0.77
1;59;8;30;01059008_30_59;2018;2;14;0.66;0.83;0.79;1.57;1.25;1.0;1.39;1.17;0.51;0.42;0.34;0.41;0.36;0.4;0.37;0.34;0.37;0.39;0.36;0.38;0.38;0.35;0.39;0.39
1;59;8;30;01059008_30_59;2018;2;16;0.34;0.32;0.31;0.36;0.77;1.23;0.4;1.02;1.1;0.93;0.38;0.38;0.38;0.32;0.47;0.31;0.32;0.25;0.31;0.35;0.57;0.75;0.68;0.54
1;59;8;30;01059008_30_59;2018;2;18;0.59;0.42;0.38;0.41;0.41;0.36;0.41;0.89;0.4;0.4;0.39;0.41;0.39;0.4;0.38;0.33;0.41;0.41;0.37;0.44;0.44;0.46;0.39;0.35
1;59;8;30;01059008_30_59;2018;2;19;0.31;0.27;0.24;0.23;0.3;0.34;0.37;0.49;0.44;0.39;0.37;0.32;0.33;0.34;0.24;0.26;0.3;0.38;0.42;0.39;0.48;0.37;0.37;0.3
1;59;8;30;01059008_30_59;2018;2;22;0.78;0.87;1.01;1.1;1.16;1.31;2.67;1.23;1.13;1.11;1.0;0.94;0.91;0.86;0.89;1.64;0.76;0.74;0.91;0.92;0.91;0.95;1.01;0.9
1;59;8;30;01059008_30_59;2018;2;23;0.83;0.81;0.77;0.85;0.77;0.95;1.14;1.53;;;;1.01;0.97;1.05;1.05;0.85;1.1;1.04;1.09;1.11;1.05;1.08;0.94;0.83
1;59;8;30;01059008_30_59;2018;2;24;0.84;0.76;0.79;0.71;0.78;0.84;0.88;0.86;0.81;0.83;0.85;0.84;0.94;0.84;0.96;0.84;0.95;0.95;1.06;1.1;1.11;1.13;1.41;1.29
1;59;8;30;01059008_30_59;2018;2;25;1.42;1.64;1.92;1.43;1.45;1.62;1.76;1.66;1.59;1.68;1.82;2.56;1.8;1.47;1.07;1.07;0.98;1.12;1.4;1.45;1.75;1.45;1.29;1.13
1;59;8;30;01059008_30_59;2018;2;27;0.65;0.64;0.65;0.69;0.68;0.72;0.76;0.89;1.02;0.81;0.86;0.86;0.86;0.71;0.68;0.75;0.75;0.92;0.93;0.72;0.72;0.69;0.83;0.84
1;59;8;30;01059008_30_59;2018;2;28;0.84;0.75;0.82;0.88;0.86;0.89;0.9;1.13;1.27;1.05;1.06;1.1;0.72;0.88;0.75;0.82;0.75;1.73;1.15;0.88;0.75;1.57;0.89;0.64
1;59;8;30;01059008_30_59;2018;3;1;0.73;1.06;0.69;0.64;0.6;0.94;0.89;0.84;0.88;0.47;0.35;0.41;0.42;0.37;0.36;0.3;0.33;0.37;0.36;0.32;0.29;0.51;0.59;0.67
1;59;8;30;01059008_30_59;2018;3;2;0.57;0.63;0.54;0.5;0.54;0.53;0.51;0.58;0.6;0.58;0.53;0.48;0.56;0.5;0.47;0.59;0.54;0.51;0.54;0.56;0.42;0.5;0.42;0.4
1;59;8;30;01059008_30_59;2018;3;3;0.22;0.29;0.23;0.26;0.25;0.28;0.29;0.32;0.29;0.3;0.35;0.32;0.33;0.38;0.3;0.29;0.31;0.25;0.34;0.37;0.6;0.97;1.13;0.59
1;59;8;30;01059008_30_59;2018;3;5;0.46;0.35;0.45;0.33;0.25;0.24;0.24;0.7;0.38;0.34;0.36;0.28;0.33;0.32;0.33;0.33;0.36;0.53;0.77;0.42;0.42;0.66;0.71;0.37
1;59;8;30;01059008_30_59;2018;3;7;0.69;0.8;1.14;0.63;0.44;0.41;0.71;0.68;0.55;0.34;0.33;0.33;0.36;0.33;0.37;0.22;0.29;0.41;0.47;0.46;0.55;0.55;0.65;1.84
1;59;8;30;01059008_30_59;2018;3;8;0.71;0.48;0.51;0.34;0.44;0.57;0.38;0.54;0.44;0.38;0.28;0.34;0.28;0.26;0.34;0.28;0.31;0.36;0.37;0.45;0.41;0.45;0.43;0.39
1;59;8;30;01059008_30_59;2018;3;9;0.35;0.25;0.24;0.19;0.19;0.23;0.26;0.36;0.36;0.35;0.29;0.3;;0.53;0.4;0.3;0.32;0.34;0.33;0.36;0.25;0.19;0.23;0.14
1;59;8;30;01059008_30_59;2018;3;11;0.22;0.24;0.18;0.36;0.15;0.19;0.23;0.27;0.23;0.25;0.23;0.28;0.31;0.29;0.27;0.25;0.22;0.21;0.32;0.34;0.37;0.28;0.28;0.3
1;59;8;30;01059008_30_59;2018;3;12;0.29;0.33;0.29;0.28;0.29;0.32;0.37;0.38;0.42;0.56;0.33;0.31;0.34;0.42;0.41;0.47;0.94;0.77;0.75;1.13;0.85;0.68;0.87;0.96
1;59;8;30;01059008_30_59;2018;3;13;0.96;0.7;0.66;0.99;0.46;0.32;0.35;0.39;0.45;0.44;0.32;0.35;0.34;0.33;0.31;0.34;0.29;0.28;0.26;0.31;0.4;0.44;0.46;0.26
1;59;8;30;01059008_30_59;2018;3;14;0.26;0.23;0.25;0.3;0.3;0.25;0.31;0.33;0.74;1.13;1.04;0.39;0.3;0.31;0.2;0.19;0.26;0.31;0.2;0.2;0.25;0.2;0.24;0.24
1;59;8;30;01059008_30_59;2018;3;15;0.19;0.16;0.19;0.21;0.23;0.24;0.24;0.29;0.3;0.29;0.28;0.3;0.33;0.33;0.34;0.3;0.41;0.34;0.32;0.62;0.68;0.51;0.38;0.34
1;59;8;30;01059008_30_59;2018;3;18;0.24;0.19;0.2;0.24;0.23;0.22;0.24;0.25;0.32;0.24;0.24;0.19;0.23;0.29;0.28;0.28;0.31;0.67;0.43;0.37;0.32;0.41;0.38;0.29
1;59;8;30;01059008_30_59;2018;3;21;0.46;0.47;0.45;0.39;0.54;0.5;0.5;0.77;0.54;0.52;0.48;0.51;0.53;0.42;0.38;0.42;0.4;0.48;0.42;0.54;0.49;0.35;0.36;0.51
1;59;8;30;01059008_30_59;2018;3;22;0.33;0.36;0.31;0.34;0.34;0.4;0.43;0.49;0.5;0.42;0.48;0.39;0.39;0.4;0.42;0.37;0.44;0.64;0.76;0.65;0.88;0.87;1.14;1.75
1;59;8;30;01059008_30_59;2018;3;24;0.18;0.24;0.29;0.28;0.25;0.37;0.24;0.22;0.24;0.24;0.24;0.21;0.21;0.24;0.21;0.2;0.19;0.25;0.24;0.28;0.29;0.36;0.28;0.25
1;59;8;30;01059008_30_59;2018;3;25;0.29;0.28;0.23;0.21;0.22;0.25;0.21;0.28;0.32;0.32;0.23;0.21;0.28;0.25;0.26;0.21;0.22;0.25;0.25;0.31;0.29;0.29;0.25;0.31
1;59;8;30;01059008_30_59;2018;3;26;0.32;0.33;0.31;0.28;0.32;0.36;0.23;0.22;0.25;0.25;0.29;0.24;0.2;0.21;0.23;0.32;0.32;0.26;0.31;0.29;0.32;0.33;0.32;0.28
